"%Rottgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; NaN, not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
wavelength;wavenumber;PsiS;PsiS_std;PsiS_ASW;PsiS_ASW_std
2730;3663;NaN;NaN;-1.11E+02;NaN
2732;3660.32;NaN;NaN;-1.14E+02;NaN
2734;3657.64;NaN;NaN;-1.17E+02;NaN
2736;3654.97;NaN;NaN;-1.18E+02;NaN
2738;3652.3;NaN;NaN;-1.17E+02;NaN
2740;3649.64;NaN;NaN;-1.15E+02;NaN
2742;3646.97;NaN;NaN;-1.12E+02;NaN
2744;3644.31;NaN;NaN;-1.08E+02;NaN
2746;3641.66;NaN;NaN;-1.02E+02;NaN
2748;3639.01;NaN;NaN;-9.53E+01;NaN
2750;3636.36;NaN;NaN;-8.75E+01;NaN
2752;3633.72;NaN;NaN;-7.92E+01;NaN
2754;3631.08;NaN;NaN;-7.05E+01;NaN
2756;3628.45;NaN;NaN;-6.08E+01;NaN
2758;3625.82;NaN;NaN;-5.10E+01;NaN
2760;3623.19;NaN;NaN;-4.15E+01;NaN
2762;3620.56;NaN;NaN;-3.16E+01;NaN
2764;3617.95;NaN;NaN;-2.16E+01;NaN
2766;3615.33;NaN;NaN;-1.23E+01;NaN
2768;3612.72;NaN;NaN;-2.51E+00;NaN
2770;3610.11;NaN;NaN;7.57E+00;NaN
2772;3607.5;NaN;NaN;1.73E+01;NaN
2774;3604.9;NaN;NaN;2.65E+01;NaN
2776;3602.31;NaN;NaN;3.63E+01;NaN
2778;3599.71;NaN;NaN;4.55E+01;NaN
2780;3597.12;NaN;NaN;5.42E+01;NaN
2782;3594.54;NaN;NaN;6.28E+01;NaN
2784;3591.95;NaN;NaN;7.11E+01;NaN
2786;3589.38;NaN;NaN;7.91E+01;NaN
2788;3586.8;NaN;NaN;8.70E+01;NaN
2790;3584.23;NaN;NaN;9.46E+01;NaN
2792;3581.66;NaN;NaN;1.02E+02;NaN
2794;3579.1;NaN;NaN;1.09E+02;NaN
2796;3576.54;NaN;NaN;1.17E+02;NaN
2798;3573.98;NaN;NaN;1.25E+02;NaN
2800;3571.43;NaN;NaN;1.31E+02;NaN
2802;3568.88;NaN;NaN;1.38E+02;NaN
2804;3566.33;NaN;NaN;1.45E+02;NaN
2806;3563.79;NaN;NaN;1.52E+02;NaN
2808;3561.25;NaN;NaN;1.59E+02;NaN
2810;3558.72;NaN;NaN;1.66E+02;NaN
2812;3556.19;NaN;NaN;1.73E+02;NaN
2814;3553.66;NaN;NaN;1.79E+02;NaN
2816;3551.14;NaN;NaN;1.86E+02;NaN
2818;3548.62;NaN;NaN;1.92E+02;NaN
2820;3546.1;NaN;NaN;1.98E+02;NaN
2822;3543.59;NaN;NaN;2.04E+02;NaN
2824;3541.08;NaN;NaN;2.10E+02;NaN
2826;3538.57;NaN;NaN;2.18E+02;NaN
2828;3536.07;NaN;NaN;2.26E+02;NaN
2830;3533.57;NaN;NaN;2.32E+02;NaN
2832;3531.07;NaN;NaN;2.38E+02;NaN
2834;3528.58;NaN;NaN;2.45E+02;NaN
2836;3526.09;NaN;NaN;2.51E+02;NaN
2838;3523.61;NaN;NaN;2.57E+02;NaN
2840;3521.13;NaN;NaN;2.64E+02;NaN
2842;3518.65;NaN;NaN;2.71E+02;NaN
2844;3516.17;NaN;NaN;2.79E+02;NaN
2846;3513.7;NaN;NaN;2.86E+02;NaN
2848;3511.24;NaN;NaN;2.91E+02;NaN
2850;3508.77;NaN;NaN;2.96E+02;NaN
2852;3506.31;NaN;NaN;3.02E+02;NaN
2854;3503.85;NaN;NaN;3.06E+02;NaN
2856;3501.4;NaN;NaN;3.10E+02;NaN
2858;3498.95;NaN;NaN;3.16E+02;NaN
2860;3496.5;NaN;NaN;3.22E+02;NaN
2862;3494.06;NaN;NaN;3.27E+02;NaN
2864;3491.62;NaN;NaN;3.28E+02;NaN
2866;3489.18;NaN;NaN;3.32E+02;NaN
2868;3486.75;NaN;NaN;3.37E+02;NaN
2870;3484.32;NaN;NaN;3.40E+02;NaN
2872;3481.89;NaN;NaN;3.43E+02;NaN
2874;3479.47;NaN;NaN;3.41E+02;NaN
2876;3477.05;NaN;NaN;3.40E+02;NaN
2878;3474.64;NaN;NaN;3.42E+02;NaN
2880;3472.22;NaN;NaN;3.41E+02;NaN
2882;3469.81;NaN;NaN;3.37E+02;NaN
2884;3467.41;NaN;NaN;3.35E+02;NaN
2886;3465;NaN;NaN;3.34E+02;NaN
2888;3462.6;NaN;NaN;3.34E+02;NaN
2890;3460.21;NaN;NaN;3.32E+02;NaN
2892;3457.81;NaN;NaN;3.27E+02;NaN
2894;3455.43;NaN;NaN;3.21E+02;NaN
2896;3453.04;NaN;NaN;3.13E+02;NaN
2898;3450.66;NaN;NaN;3.07E+02;NaN
2900;3448.28;NaN;NaN;3.01E+02;NaN
2902;3445.9;NaN;NaN;2.95E+02;NaN
2904;3443.53;NaN;NaN;2.91E+02;NaN
2906;3441.16;NaN;NaN;2.82E+02;NaN
2908;3438.79;NaN;NaN;2.69E+02;NaN
2910;3436.43;NaN;NaN;2.53E+02;NaN
2912;3434.07;NaN;NaN;2.44E+02;NaN
2914;3431.71;NaN;NaN;2.41E+02;NaN
2916;3429.36;NaN;NaN;2.32E+02;NaN
2918;3427;NaN;NaN;2.25E+02;NaN
2920;3424.66;NaN;NaN;2.14E+02;NaN
2922;3422.31;NaN;NaN;1.96E+02;NaN
2924;3419.97;NaN;NaN;1.82E+02;NaN
2926;3417.63;NaN;NaN;1.73E+02;NaN
2928;3415.3;NaN;NaN;1.64E+02;NaN
2930;3412.97;NaN;NaN;1.54E+02;NaN
2932;3410.64;NaN;NaN;1.38E+02;NaN
2934;3408.32;NaN;NaN;1.23E+02;NaN
2936;3405.99;NaN;NaN;1.12E+02;NaN
2938;3403.68;NaN;NaN;9.93E+01;NaN
2940;3401.36;NaN;NaN;8.49E+01;NaN
2942;3399.05;NaN;NaN;7.12E+01;NaN
2944;3396.74;NaN;NaN;6.12E+01;NaN
2946;3394.43;NaN;NaN;5.00E+01;NaN
2948;3392.13;NaN;NaN;3.23E+01;NaN
2950;3389.83;NaN;NaN;9.01E+00;NaN
2952;3387.53;NaN;NaN;-5.54E+00;NaN
2954;3385.24;NaN;NaN;-1.41E+01;NaN
2956;3382.95;NaN;NaN;-2.76E+01;NaN
2958;3380.66;NaN;NaN;-4.06E+01;NaN
2960;3378.38;NaN;NaN;-5.49E+01;NaN
2962;3376.1;NaN;NaN;-6.67E+01;NaN
2964;3373.82;NaN;NaN;-8.18E+01;NaN
2966;3371.54;NaN;NaN;-1.00E+02;NaN
2968;3369.27;NaN;NaN;-1.15E+02;NaN
2970;3367;NaN;NaN;-1.27E+02;NaN
2972;3364.74;NaN;NaN;-1.34E+02;NaN
2974;3362.47;NaN;NaN;-1.51E+02;NaN
2976;3360.22;NaN;NaN;-1.74E+02;NaN
2978;3357.96;NaN;NaN;-1.86E+02;NaN
2980;3355.7;NaN;NaN;-1.97E+02;NaN
2982;3353.45;NaN;NaN;-2.12E+02;NaN
2984;3351.21;NaN;NaN;-2.25E+02;NaN
2986;3348.96;NaN;NaN;-2.35E+02;NaN
2988;3346.72;NaN;NaN;-2.43E+02;NaN
2990;3344.48;NaN;NaN;-2.60E+02;NaN
2992;3342.25;NaN;NaN;-2.76E+02;NaN
2994;3340.01;NaN;NaN;-2.88E+02;NaN
2996;3337.78;NaN;NaN;-2.96E+02;NaN
2998;3335.56;NaN;NaN;-3.07E+02;NaN
3000;3333.33;NaN;NaN;-3.20E+02;NaN
3002;3331.11;NaN;NaN;-3.29E+02;NaN
3004;3328.89;NaN;NaN;-3.40E+02;NaN
3006;3326.68;NaN;NaN;-3.54E+02;NaN
3008;3324.47;NaN;NaN;-3.64E+02;NaN
3010;3322.26;NaN;NaN;-3.70E+02;NaN
3012;3320.05;NaN;NaN;-3.80E+02;NaN
3014;3317.85;NaN;NaN;-3.93E+02;NaN
3016;3315.65;NaN;NaN;-3.97E+02;NaN
3018;3313.45;NaN;NaN;-4.00E+02;NaN
3020;3311.26;NaN;NaN;-4.10E+02;NaN
3022;3309.07;NaN;NaN;-4.19E+02;NaN
3024;3306.88;NaN;NaN;-4.22E+02;NaN
3026;3304.69;NaN;NaN;-4.27E+02;NaN
3028;3302.51;NaN;NaN;-4.35E+02;NaN
3030;3300.33;NaN;NaN;-4.45E+02;NaN
3032;3298.15;NaN;NaN;-4.50E+02;NaN
3034;3295.98;NaN;NaN;-4.51E+02;NaN
3036;3293.81;NaN;NaN;-4.54E+02;NaN
3038;3291.64;NaN;NaN;-4.59E+02;NaN
3040;3289.47;NaN;NaN;-4.64E+02;NaN
3042;3287.31;NaN;NaN;-4.71E+02;NaN
3044;3285.15;NaN;NaN;-4.74E+02;NaN
3046;3282.99;NaN;NaN;-4.77E+02;NaN
3048;3280.84;NaN;NaN;-4.79E+02;NaN
3050;3278.69;NaN;NaN;-4.78E+02;NaN
3052;3276.54;NaN;NaN;-4.79E+02;NaN
3054;3274.39;NaN;NaN;-4.83E+02;NaN
3056;3272.25;NaN;NaN;-4.88E+02;NaN
3058;3270.11;NaN;NaN;-4.91E+02;NaN
3060;3267.97;NaN;NaN;-4.91E+02;NaN
3062;3265.84;NaN;NaN;-4.91E+02;NaN
3064;3263.71;NaN;NaN;-4.91E+02;NaN
3066;3261.58;NaN;NaN;-4.91E+02;NaN
3068;3259.45;NaN;NaN;-4.94E+02;NaN
3070;3257.33;NaN;NaN;-4.98E+02;NaN
3072;3255.21;NaN;NaN;-4.99E+02;NaN
3074;3253.09;NaN;NaN;-4.96E+02;NaN
3076;3250.98;NaN;NaN;-4.94E+02;NaN
3078;3248.86;NaN;NaN;-4.93E+02;NaN
3080;3246.75;NaN;NaN;-4.92E+02;NaN
3082;3244.65;NaN;NaN;-4.93E+02;NaN
3084;3242.54;NaN;NaN;-4.93E+02;NaN
3086;3240.44;NaN;NaN;-4.94E+02;NaN
3088;3238.34;NaN;NaN;-4.93E+02;NaN
3090;3236.25;NaN;NaN;-4.90E+02;NaN
3092;3234.15;NaN;NaN;-4.90E+02;NaN
3094;3232.06;NaN;NaN;-4.91E+02;NaN
3096;3229.97;NaN;NaN;-4.90E+02;NaN
3098;3227.89;NaN;NaN;-4.88E+02;NaN
3100;3225.81;NaN;NaN;-4.87E+02;NaN
3102;3223.73;NaN;NaN;-4.88E+02;NaN
3104;3221.65;NaN;NaN;-4.88E+02;NaN
3106;3219.58;NaN;NaN;-4.83E+02;NaN
3108;3217.5;NaN;NaN;-4.80E+02;NaN
3110;3215.43;NaN;NaN;-4.79E+02;NaN
3112;3213.37;NaN;NaN;-4.77E+02;NaN
3114;3211.3;NaN;NaN;-4.74E+02;NaN
3116;3209.24;NaN;NaN;-4.71E+02;NaN
3118;3207.18;NaN;NaN;-4.68E+02;NaN
3120;3205.13;NaN;NaN;-4.66E+02;NaN
3122;3203.07;NaN;NaN;-4.64E+02;NaN
3124;3201.02;NaN;NaN;-4.61E+02;NaN
3126;3198.98;NaN;NaN;-4.59E+02;NaN
3128;3196.93;NaN;NaN;-4.57E+02;NaN
3130;3194.89;NaN;NaN;-4.54E+02;NaN
3132;3192.85;NaN;NaN;-4.50E+02;NaN
3134;3190.81;NaN;NaN;-4.47E+02;NaN
3136;3188.78;NaN;NaN;-4.44E+02;NaN
3138;3186.74;NaN;NaN;-4.41E+02;NaN
3140;3184.71;NaN;NaN;-4.37E+02;NaN
3142;3182.69;NaN;NaN;-4.32E+02;NaN
3144;3180.66;NaN;NaN;-4.28E+02;NaN
3146;3178.64;NaN;NaN;-4.23E+02;NaN
3148;3176.62;NaN;NaN;-4.19E+02;NaN
3150;3174.6;NaN;NaN;-4.15E+02;NaN
3152;3172.59;NaN;NaN;-4.12E+02;NaN
3154;3170.58;NaN;NaN;-4.08E+02;NaN
3156;3168.57;NaN;NaN;-4.04E+02;NaN
3158;3166.56;NaN;NaN;-3.99E+02;NaN
3160;3164.56;NaN;NaN;-3.95E+02;NaN
3162;3162.56;NaN;NaN;-3.91E+02;NaN
3164;3160.56;NaN;NaN;-3.87E+02;NaN
3166;3158.56;NaN;NaN;-3.82E+02;NaN
3168;3156.57;NaN;NaN;-3.77E+02;NaN
3170;3154.57;NaN;NaN;-3.72E+02;NaN
3172;3152.59;NaN;NaN;-3.67E+02;NaN
3174;3150.6;NaN;NaN;-3.63E+02;NaN
3176;3148.61;NaN;NaN;-3.59E+02;NaN
3178;3146.63;NaN;NaN;-3.55E+02;NaN
3180;3144.65;NaN;NaN;-3.50E+02;NaN
3182;3142.68;NaN;NaN;-3.45E+02;NaN
3184;3140.7;NaN;NaN;-3.40E+02;NaN
3186;3138.73;NaN;NaN;-3.36E+02;NaN
3188;3136.76;NaN;NaN;-3.32E+02;NaN
3190;3134.8;NaN;NaN;-3.28E+02;NaN
3192;3132.83;NaN;NaN;-3.23E+02;NaN
3194;3130.87;NaN;NaN;-3.19E+02;NaN
3196;3128.91;NaN;NaN;-3.14E+02;NaN
3198;3126.95;NaN;NaN;-3.10E+02;NaN
3200;3125;NaN;NaN;-3.05E+02;NaN
3202;3123.05;NaN;NaN;-3.00E+02;NaN
3204;3121.1;NaN;NaN;-2.96E+02;NaN
3206;3119.15;NaN;NaN;-2.92E+02;NaN
3208;3117.21;NaN;NaN;-2.87E+02;NaN
3210;3115.26;NaN;NaN;-2.83E+02;NaN
3212;3113.33;NaN;NaN;-2.79E+02;NaN
3214;3111.39;NaN;NaN;-2.75E+02;NaN
3216;3109.45;NaN;NaN;-2.71E+02;NaN
3218;3107.52;NaN;NaN;-2.67E+02;NaN
3220;3105.59;NaN;NaN;-2.63E+02;NaN
3222;3103.66;NaN;NaN;-2.58E+02;NaN
3224;3101.74;NaN;NaN;-2.54E+02;NaN
3226;3099.81;NaN;NaN;-2.51E+02;NaN
3228;3097.89;NaN;NaN;-2.47E+02;NaN
3230;3095.98;NaN;NaN;-2.43E+02;NaN
3232;3094.06;NaN;NaN;-2.39E+02;NaN
3234;3092.15;NaN;NaN;-2.35E+02;NaN
3236;3090.23;NaN;NaN;-2.32E+02;NaN
3238;3088.33;NaN;NaN;-2.28E+02;NaN
3240;3086.42;NaN;NaN;-2.25E+02;NaN
3242;3084.52;NaN;NaN;-2.21E+02;NaN
3244;3082.61;NaN;NaN;-2.18E+02;NaN
3246;3080.71;NaN;NaN;-2.14E+02;NaN
3248;3078.82;NaN;NaN;-2.11E+02;NaN
3250;3076.92;NaN;NaN;-2.08E+02;NaN
3252;3075.03;NaN;NaN;-2.05E+02;NaN
3254;3073.14;NaN;NaN;-2.01E+02;NaN
3256;3071.25;NaN;NaN;-1.98E+02;NaN
3258;3069.37;NaN;NaN;-1.95E+02;NaN
3260;3067.48;NaN;NaN;-1.92E+02;NaN
3262;3065.6;NaN;NaN;-1.89E+02;NaN
3264;3063.73;NaN;NaN;-1.86E+02;NaN
3266;3061.85;NaN;NaN;-1.83E+02;NaN
3268;3059.98;NaN;NaN;-1.80E+02;NaN
3270;3058.1;NaN;NaN;-1.77E+02;NaN
3272;3056.23;NaN;NaN;-1.74E+02;NaN
3274;3054.37;NaN;NaN;-1.72E+02;NaN
3276;3052.5;NaN;NaN;-1.69E+02;NaN
3278;3050.64;NaN;NaN;-1.66E+02;NaN
3280;3048.78;NaN;NaN;-1.64E+02;NaN
3282;3046.92;NaN;NaN;-1.61E+02;NaN
3284;3045.07;NaN;NaN;-1.58E+02;NaN
3286;3043.21;NaN;NaN;-1.56E+02;NaN
3288;3041.36;NaN;NaN;-1.53E+02;NaN
3290;3039.51;NaN;NaN;-1.51E+02;NaN
3292;3037.67;NaN;NaN;-1.49E+02;NaN
3294;3035.82;NaN;NaN;-1.46E+02;NaN
3296;3033.98;NaN;NaN;-1.44E+02;NaN
3298;3032.14;NaN;NaN;-1.42E+02;NaN
3300;3030.3;NaN;NaN;-1.39E+02;NaN
3302;3028.47;NaN;NaN;-1.37E+02;NaN
3304;3026.63;NaN;NaN;-1.35E+02;NaN
3306;3024.8;NaN;NaN;-1.33E+02;NaN
3308;3022.97;NaN;NaN;-1.31E+02;NaN
3310;3021.15;NaN;NaN;-1.29E+02;NaN
3312;3019.32;NaN;NaN;-1.27E+02;NaN
3314;3017.5;NaN;NaN;-1.25E+02;NaN
3316;3015.68;NaN;NaN;-1.23E+02;NaN
3318;3013.86;NaN;NaN;-1.21E+02;NaN
3320;3012.05;NaN;NaN;-1.19E+02;NaN
3322;3010.23;NaN;NaN;-1.17E+02;NaN
3324;3008.42;NaN;NaN;-1.15E+02;NaN
3326;3006.61;NaN;NaN;-1.13E+02;NaN
3328;3004.81;NaN;NaN;-1.11E+02;NaN
3330;3003;NaN;NaN;-1.10E+02;NaN
3332;3001.2;NaN;NaN;-1.08E+02;NaN
3334;2999.4;NaN;NaN;-1.06E+02;NaN
3336;2997.6;NaN;NaN;-1.04E+02;NaN
3338;2995.81;NaN;NaN;-1.03E+02;NaN
3340;2994.01;NaN;NaN;-1.01E+02;NaN
3342;2992.22;NaN;NaN;-9.97E+01;NaN
3344;2990.43;NaN;NaN;-9.81E+01;NaN
3346;2988.64;NaN;NaN;-9.65E+01;NaN
3348;2986.86;NaN;NaN;-9.50E+01;NaN
3350;2985.07;NaN;NaN;-9.35E+01;NaN
3352;2983.29;NaN;NaN;-9.20E+01;NaN
3354;2981.51;NaN;NaN;-9.06E+01;NaN
3356;2979.74;NaN;NaN;-8.91E+01;NaN
3358;2977.96;NaN;NaN;-8.76E+01;NaN
3360;2976.19;NaN;NaN;-8.63E+01;NaN
3362;2974.42;NaN;NaN;-8.50E+01;NaN
3364;2972.65;NaN;NaN;-8.36E+01;NaN
3366;2970.89;NaN;NaN;-8.23E+01;NaN
3368;2969.12;NaN;NaN;-8.10E+01;NaN
3370;2967.36;NaN;NaN;-7.97E+01;NaN
3372;2965.6;NaN;NaN;-7.84E+01;NaN
3374;2963.84;NaN;NaN;-7.71E+01;NaN
3376;2962.09;NaN;NaN;-7.58E+01;NaN
3378;2960.33;NaN;NaN;-7.45E+01;NaN
3380;2958.58;NaN;NaN;-7.34E+01;NaN
3382;2956.83;NaN;NaN;-7.23E+01;NaN
3384;2955.08;NaN;NaN;-7.12E+01;NaN
3386;2953.34;NaN;NaN;-7.02E+01;NaN
3388;2951.59;NaN;NaN;-6.91E+01;NaN
3390;2949.85;NaN;NaN;-6.81E+01;NaN
3392;2948.11;NaN;NaN;-6.70E+01;NaN
3394;2946.38;NaN;NaN;-6.60E+01;NaN
3396;2944.64;NaN;NaN;-6.50E+01;NaN
3398;2942.91;NaN;NaN;-6.40E+01;NaN
3400;2941.18;NaN;NaN;-6.30E+01;NaN
3402;2939.45;NaN;NaN;-6.19E+01;NaN
3404;2937.72;NaN;NaN;-6.09E+01;NaN
3406;2936;NaN;NaN;-5.99E+01;NaN
3408;2934.27;NaN;NaN;-5.90E+01;NaN
3410;2932.55;NaN;NaN;-5.80E+01;NaN
3412;2930.83;NaN;NaN;-5.71E+01;NaN
3414;2929.12;NaN;NaN;-5.62E+01;NaN
3416;2927.4;NaN;NaN;-5.52E+01;NaN
3418;2925.69;NaN;NaN;-5.44E+01;NaN
3420;2923.98;NaN;NaN;-5.35E+01;NaN
3422;2922.27;NaN;NaN;-5.27E+01;NaN
3424;2920.56;NaN;NaN;-5.19E+01;NaN
3426;2918.86;NaN;NaN;-5.12E+01;NaN
3428;2917.15;NaN;NaN;-5.05E+01;NaN
3430;2915.45;NaN;NaN;-4.98E+01;NaN
3432;2913.75;NaN;NaN;-4.91E+01;NaN
3434;2912.06;NaN;NaN;-4.85E+01;NaN
3436;2910.36;NaN;NaN;-4.78E+01;NaN
3438;2908.67;NaN;NaN;-4.72E+01;NaN
3440;2906.98;NaN;NaN;-4.65E+01;NaN
3442;2905.29;NaN;NaN;-4.59E+01;NaN
3444;2903.6;NaN;NaN;-4.53E+01;NaN
3446;2901.92;NaN;NaN;-4.47E+01;NaN
3448;2900.23;NaN;NaN;-4.40E+01;NaN
3450;2898.55;NaN;NaN;-4.34E+01;NaN
3452;2896.87;NaN;NaN;-4.28E+01;NaN
3454;2895.19;NaN;NaN;-4.21E+01;NaN
3456;2893.52;NaN;NaN;-4.15E+01;NaN
3458;2891.84;NaN;NaN;-4.09E+01;NaN
3460;2890.17;NaN;NaN;-4.04E+01;NaN
3462;2888.5;NaN;NaN;-3.98E+01;NaN
3464;2886.84;NaN;NaN;-3.93E+01;NaN
3466;2885.17;NaN;NaN;-3.87E+01;NaN
3468;2883.51;NaN;NaN;-3.82E+01;NaN
3470;2881.84;NaN;NaN;-3.76E+01;NaN
3472;2880.18;NaN;NaN;-3.71E+01;NaN
3474;2878.53;NaN;NaN;-3.66E+01;NaN
3476;2876.87;NaN;NaN;-3.61E+01;NaN
3478;2875.22;NaN;NaN;-3.55E+01;NaN
3480;2873.56;NaN;NaN;-3.50E+01;NaN
3482;2871.91;NaN;NaN;-3.45E+01;NaN
3484;2870.26;NaN;NaN;-3.40E+01;NaN
3486;2868.62;NaN;NaN;-3.35E+01;NaN
3488;2866.97;NaN;NaN;-3.31E+01;NaN
3490;2865.33;NaN;NaN;-3.26E+01;NaN
3492;2863.69;NaN;NaN;-3.22E+01;NaN
3494;2862.05;NaN;NaN;-3.18E+01;NaN
3496;2860.41;NaN;NaN;-3.13E+01;NaN
3498;2858.78;NaN;NaN;-3.08E+01;NaN
3500;2857.14;NaN;NaN;-3.03E+01;NaN
3502;2855.51;NaN;NaN;-2.98E+01;NaN
3504;2853.88;NaN;NaN;-2.93E+01;NaN
3506;2852.25;NaN;NaN;-2.89E+01;NaN
3508;2850.63;NaN;NaN;-2.85E+01;NaN
3510;2849;NaN;NaN;-2.82E+01;NaN
3512;2847.38;NaN;NaN;-2.79E+01;NaN
3514;2845.76;NaN;NaN;-2.76E+01;NaN
3516;2844.14;NaN;NaN;-2.74E+01;NaN
3518;2842.52;NaN;NaN;-2.71E+01;NaN
3520;2840.91;NaN;NaN;-2.68E+01;NaN
3522;2839.3;NaN;NaN;-2.65E+01;NaN
3524;2837.68;NaN;NaN;-2.62E+01;NaN
3526;2836.07;NaN;NaN;-2.59E+01;NaN
3528;2834.47;NaN;NaN;-2.56E+01;NaN
3530;2832.86;NaN;NaN;-2.52E+01;NaN
3532;2831.26;NaN;NaN;-2.49E+01;NaN
3534;2829.65;NaN;NaN;-2.46E+01;NaN
3536;2828.05;NaN;NaN;-2.43E+01;NaN
3538;2826.46;NaN;NaN;-2.40E+01;NaN
3540;2824.86;NaN;NaN;-2.37E+01;NaN
3542;2823.26;NaN;NaN;-2.34E+01;NaN
3544;2821.67;NaN;NaN;-2.31E+01;NaN
3546;2820.08;NaN;NaN;-2.28E+01;NaN
3548;2818.49;NaN;NaN;-2.25E+01;NaN
3550;2816.9;NaN;NaN;-2.23E+01;NaN
3552;2815.32;NaN;NaN;-2.20E+01;NaN
3554;2813.73;NaN;NaN;-2.18E+01;NaN
3556;2812.15;NaN;NaN;-2.15E+01;NaN
3558;2810.57;NaN;NaN;-2.13E+01;NaN
3560;2808.99;NaN;NaN;-2.10E+01;NaN
3562;2807.41;NaN;NaN;-2.08E+01;NaN
3564;2805.84;NaN;NaN;-2.05E+01;NaN
3566;2804.26;NaN;NaN;-2.03E+01;NaN
3568;2802.69;NaN;NaN;-2.01E+01;NaN
3570;2801.12;NaN;NaN;-1.99E+01;NaN
3572;2799.55;NaN;NaN;-1.97E+01;NaN
3574;2797.99;NaN;NaN;-1.95E+01;NaN
3576;2796.42;NaN;NaN;-1.93E+01;NaN
3578;2794.86;NaN;NaN;-1.91E+01;NaN
3580;2793.3;NaN;NaN;-1.89E+01;NaN
3582;2791.74;NaN;NaN;-1.87E+01;NaN
3584;2790.18;NaN;NaN;-1.85E+01;NaN
3586;2788.62;NaN;NaN;-1.83E+01;NaN
3588;2787.07;NaN;NaN;-1.82E+01;NaN
3590;2785.52;NaN;NaN;-1.80E+01;NaN
3592;2783.96;NaN;NaN;-1.78E+01;NaN
3594;2782.42;NaN;NaN;-1.75E+01;NaN
3596;2780.87;NaN;NaN;-1.73E+01;NaN
3598;2779.32;NaN;NaN;-1.72E+01;NaN
3600;2777.78;NaN;NaN;-1.70E+01;NaN
3602;2776.24;NaN;NaN;-1.69E+01;NaN
3604;2774.69;NaN;NaN;-1.68E+01;NaN
3606;2773.16;NaN;NaN;-1.66E+01;NaN
3608;2771.62;NaN;NaN;-1.64E+01;NaN
3610;2770.08;NaN;NaN;-1.62E+01;NaN
3612;2768.55;NaN;NaN;-1.60E+01;NaN
3614;2767.02;NaN;NaN;-1.59E+01;NaN
3616;2765.49;NaN;NaN;-1.57E+01;NaN
3618;2763.96;NaN;NaN;-1.56E+01;NaN
3620;2762.43;NaN;NaN;-1.55E+01;NaN
3622;2760.91;NaN;NaN;-1.54E+01;NaN
3624;2759.38;NaN;NaN;-1.52E+01;NaN
3626;2757.86;NaN;NaN;-1.51E+01;NaN
3628;2756.34;NaN;NaN;-1.50E+01;NaN
3630;2754.82;NaN;NaN;-1.48E+01;NaN
3632;2753.3;NaN;NaN;-1.47E+01;NaN
3634;2751.79;NaN;NaN;-1.46E+01;NaN
3636;2750.28;NaN;NaN;-1.45E+01;NaN
3638;2748.76;NaN;NaN;-1.44E+01;NaN
3640;2747.25;NaN;NaN;-1.43E+01;NaN
3642;2745.74;NaN;NaN;-1.41E+01;NaN
3644;2744.24;NaN;NaN;-1.40E+01;NaN
3646;2742.73;NaN;NaN;-1.39E+01;NaN
3648;2741.23;NaN;NaN;-1.38E+01;NaN
3650;2739.73;NaN;NaN;-1.37E+01;NaN
3652;2738.23;NaN;NaN;-1.36E+01;NaN
3654;2736.73;NaN;NaN;-1.34E+01;NaN
3656;2735.23;NaN;NaN;-1.34E+01;NaN
3658;2733.73;NaN;NaN;-1.33E+01;NaN
3660;2732.24;NaN;NaN;-1.32E+01;NaN
3662;2730.75;NaN;NaN;-1.31E+01;NaN
3664;2729.26;NaN;NaN;-1.30E+01;NaN
3666;2727.77;NaN;NaN;-1.30E+01;NaN
3668;2726.28;NaN;NaN;-1.29E+01;NaN
3670;2724.8;NaN;NaN;-1.28E+01;NaN
3672;2723.31;NaN;NaN;-1.27E+01;NaN
3674;2721.83;NaN;NaN;-1.26E+01;NaN
3676;2720.35;NaN;NaN;-1.25E+01;NaN
3678;2718.87;NaN;NaN;-1.24E+01;NaN
3680;2717.39;NaN;NaN;-1.23E+01;NaN
3682;2715.92;NaN;NaN;-1.22E+01;NaN
3684;2714.44;NaN;NaN;-1.21E+01;NaN
3686;2712.97;NaN;NaN;-1.21E+01;NaN
3688;2711.5;NaN;NaN;-1.21E+01;NaN
3690;2710.03;NaN;NaN;-1.20E+01;NaN
3692;2708.56;NaN;NaN;-1.20E+01;NaN
3694;2707.09;NaN;NaN;-1.19E+01;NaN
3696;2705.63;NaN;NaN;-1.19E+01;NaN
3698;2704.16;NaN;NaN;-1.18E+01;NaN
3700;2702.7;NaN;NaN;-1.17E+01;NaN
3702;2701.24;NaN;NaN;-1.17E+01;NaN
3704;2699.78;NaN;NaN;-1.16E+01;NaN
3706;2698.33;NaN;NaN;-1.15E+01;NaN
3708;2696.87;NaN;NaN;-1.14E+01;NaN
3710;2695.42;NaN;NaN;-1.14E+01;NaN
