Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Arizona
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	2.7328
443	2.7891
515	2.8639
658	2.9604
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
160	 0.0020307	 0.0018643	 0.0016659	 0.0014965
161	 0.0020898	 0.0019606	 0.0017350	 0.0015503
162	 0.0021740	 0.0020560	 0.0018148	 0.0016148
163	 0.0022724	 0.0021770	 0.0019088	 0.0017007
164	 0.0024018	 0.0022950	 0.0020132	 0.0017666
165	 0.0025369	 0.0024816	 0.0021380	 0.0018894
166	 0.0027117	 0.0026650	 0.0022882	 0.0020183
167	 0.0028011	 0.0027682	 0.0024796	 0.0021986
168	 0.0032895	 0.0031895	 0.0027257	 0.0024370
169	 0.0033895	 0.0032508	 0.0030163	 0.0027129
170	 0.0040231	 0.0038849	 0.0034514	 0.0031089
171	 0.0047964	 0.0045160	 0.0041499	 0.0037908
172	 0.0060709	 0.0056279	 0.0053272	 0.0050509
173	 0.0085532	 0.0075229	 0.0075121	 0.0072259
174	 0.0134186	 0.0111019	 0.0112989	 0.0107966
175	 0.0207991	 0.0070970	 0.0189792	 0.0172922
